firstname,lastname,email,phone,lifecyclestage,hs_lead_status,deal_stage,unsubscribed_from_all_email,hs_email_open,hs_email_click,hs_analytics_last_visit_timestamp,zoho_last_open_date,zoho_lead_status,zoho_id,daysmart_id,master_id,last_appointment_date,daysmart_status,lifetime_value,total_appointments,loyalty_points,primary_service,zerobounce_status,zerobounce_score,email_verification_status,service_interests,data_rule_applied,source_system,record_type,import_date
Eric,Fox,roblesgregory@example.com,(312) 934-0472,lead,Converted,Qualification,False,4,2,2025-10-11,2025-10-11,Converted,ZCR-104453,,ZCR-104453,2025-07-03,No DaySmart Record,0.0,0,0,,unknown,4,Valid,Healthcare; Professional,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brianna,Perry,tmathis@example.org,(620) 963-1786,lead,Unqualified,,False,103,53,2026-03-01,2026-03-01,Unqualified,ZCR-104454,,ZCR-104454,2024-11-16,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Course,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Jennifer,Strong,figueroaaaron@example.net,(867) 800-0133,lead,Qualified,Prospecting,False,71,57,2025-04-27,2025-04-27,Qualified,ZCR-104455,,ZCR-104455,2025-08-28,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Fitness; Healthcare; High Value,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
John,Chung,dawsondeborah@example.org,(939) 015-4056,lead,Unqualified,Value Proposition,False,93,43,2026-03-24,2026-03-24,Unqualified,ZCR-104456,,ZCR-104456,2024-06-09,No DaySmart Record,0.0,0,0,,valid,10,Valid,Referral; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Matthew,Adams,allenbarbara@example.net,(294) 287-2765,lead,Unqualified,Decision Maker,False,4,2,2025-11-22,2025-11-22,Unqualified,ZCR-104458,,ZCR-104458,2025-08-12,No DaySmart Record,0.0,0,0,,unknown,4,Valid,High Value; Professional; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Ryan,Holmes,kevinscott@example.org,(564) 264-3969,lead,Unqualified,,False,35,11,2026-03-16,2026-03-16,Unqualified,ZCR-104461,,ZCR-104461,2025-09-24,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Education,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Ryan,Higgins,vneal@example.net,(551) 462-3013,lead,Qualified,Decision Maker,False,86,20,2025-11-28,2025-11-28,Qualified,ZCR-104462,,ZCR-104462,2025-04-22,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Fitness; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brittany,Mcdonald,iwood@example.net,(685) 307-4401,lead,Converted,Closed Won,False,58,29,2025-04-21,2025-04-21,Converted,ZCR-104463,,ZCR-104463,2024-11-01,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; High Value,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Candice,Mccoy,wbarnes@example.net,(450) 299-7189,lead,Working,Prospecting,False,102,6,2026-03-28,2026-03-28,Working,ZCR-104464,,ZCR-104464,2025-10-27,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,New Customer; Professional,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Gary,Stark,alicia07@example.net,(196) 314-2918,lead,New,Negotiation,False,2,2,2025-11-06,2025-11-06,New,ZCR-104465,,ZCR-104465,2024-05-18,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Laurie,Hunt,xjackson@example.com,(071) 870-9752,lead,Qualified,Decision Maker,False,113,1,2025-04-23,2025-04-23,Qualified,ZCR-104467,,ZCR-104467,2026-03-29,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; Hospitality; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Tina,Zavala,hartjennifer@example.com,(137) 388-4958,lead,Unqualified,Needs Analysis,False,34,9,2025-09-04,2025-09-04,Unqualified,ZCR-104468,,ZCR-104468,2024-10-26,No DaySmart Record,0.0,0,0,,valid,10,Valid,Newsletter; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Tyler,Hansen,lbeck@example.net,(779) 134-5094,lead,Qualified,Qualification,False,53,30,2026-03-02,2026-03-02,Qualified,ZCR-104469,,ZCR-104469,2026-02-12,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; High Value; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Victoria,Alvarado,edawson@example.org,(743) 487-5002,lead,Unqualified,,False,72,39,2025-08-09,2025-08-09,Unqualified,ZCR-104472,,ZCR-104472,2025-03-24,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Healthcare; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Nathan,Fleming,acrawford@example.net,(979) 188-3616,lead,Working,Closed Won,False,7,4,2025-12-18,2025-12-18,Working,ZCR-104473,,ZCR-104473,2026-02-11,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Andrea,Miller,april82@example.com,(278) 108-3000,lead,Converted,Closed Lost,False,64,59,2025-06-15,2025-06-15,Converted,ZCR-104474,,ZCR-104474,2024-07-13,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Carol,Kennedy,simonsamuel@example.com,(443) 327-8855,lead,Working,Qualification,False,2,1,2025-07-17,2025-07-17,Working,ZCR-104475,,ZCR-104475,2024-09-03,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brianna,Mcmillan PhD,andrewanderson@example.com,(031) 650-8755,lead,New,Value Proposition,False,54,49,2025-11-17,2025-11-17,New,ZCR-104476,,ZCR-104476,2025-09-29,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Repeat; VIP; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brandi,Johnson,mary17@example.net,(718) 887-4944,lead,Qualified,Closed Won,False,104,23,2026-02-23,2026-02-23,Qualified,ZCR-104477,,ZCR-104477,2025-07-17,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Valerie,Davis,padillaemily@example.net,(756) 832-6704,lead,New,Value Proposition,False,60,3,2026-04-02,2026-04-02,New,ZCR-104478,,ZCR-104478,2024-08-13,No DaySmart Record,0.0,0,0,,valid,10,Valid,Newsletter; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Edward,Winters,dcook@example.net,(223) 030-8593,lead,Working,,False,19,11,2025-09-30,2025-09-30,Working,ZCR-104479,,ZCR-104479,2025-07-10,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Albert,Scott,leahsanchez@example.org,(227) 808-1088,lead,Qualified,,False,17,10,2026-02-26,2026-02-26,Qualified,ZCR-104480,,ZCR-104480,2024-05-08,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Repeat; VIP; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Jonathan,Lee,baileyluis@example.com,(866) 765-6406,lead,New,Value Proposition,False,51,41,2025-06-19,2025-06-19,New,ZCR-104482,,ZCR-104482,2024-11-29,No DaySmart Record,0.0,0,0,,valid,10,Valid,Repeat; VIP; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Timothy,Wilkins,gyoung@example.net,(052) 457-9517,lead,New,,False,13,10,2025-11-04,2025-11-04,New,ZCR-104485,,ZCR-104485,2025-12-12,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; High Value; Hospitality,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
James,Bell,jillarellano@example.net,(664) 265-1976,lead,Qualified,Qualification,False,52,50,2025-04-19,2025-04-19,Qualified,ZCR-104486,,ZCR-104486,2025-05-30,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Erik,Flores,fgordon@example.com,(634) 283-3238,lead,Working,Closed Won,False,99,56,2025-11-02,2025-11-02,Working,ZCR-104487,,ZCR-104487,2025-05-26,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; New Customer; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Jacob,Cook,amandalivingston@example.com,(834) 819-5714,lead,Working,Closed Won,False,17,6,2025-10-18,2025-10-18,Working,ZCR-104489,,ZCR-104489,2026-03-12,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Rebecca,Jackson,mmorse@example.com,(501) 772-7338,lead,Converted,Perception Analysis,False,26,21,2025-05-27,2025-05-27,Converted,ZCR-104490,,ZCR-104490,2025-04-22,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; High Value; Hospitality,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Shannon,Juarez,mullenjohn@example.net,(833) 658-9427,lead,Qualified,Prospecting,False,103,31,2025-11-03,2025-11-03,Qualified,ZCR-104491,,ZCR-104491,2026-03-14,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Course; High Value,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brent,Richards,gedwards@example.com,(420) 667-1249,lead,Qualified,Negotiation,False,90,44,2025-08-14,2025-08-14,Qualified,ZCR-104493,,ZCR-104493,2025-11-30,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Dennis,Johnson,zbeasley@example.net,(784) 838-9392,lead,Qualified,Decision Maker,False,33,15,2026-03-27,2026-03-27,Qualified,ZCR-104494,,ZCR-104494,2025-06-25,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Beauty; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Nicole,Bennett,jjackson@example.org,(191) 226-6755,lead,Working,Prospecting,False,95,16,2025-08-17,2025-08-17,Working,ZCR-104500,,ZCR-104500,2025-08-29,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; New Customer; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Peter,Mccarthy,upowers@example.org,(468) 939-1852,lead,Working,Negotiation,False,120,57,2026-02-19,2026-02-19,Working,ZCR-104501,,ZCR-104501,2025-03-03,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Fitness; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Kylie,Edwards,amychapman@example.net,(303) 854-7289,lead,Unqualified,Prospecting,False,27,4,2025-10-05,2025-10-05,Unqualified,ZCR-104502,,ZCR-104502,2024-05-11,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Nicole,Palmer,fwilson@example.net,(048) 189-0290,lead,Converted,Closed Won,False,86,40,2025-06-12,2025-06-12,Converted,ZCR-104503,,ZCR-104503,2024-05-04,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Timothy,King,iholland@example.net,(488) 318-1007,lead,Unqualified,Value Proposition,False,45,9,2025-04-27,2025-04-27,Unqualified,ZCR-104504,,ZCR-104504,2025-11-06,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Newsletter; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Rodney,Armstrong,cgarcia@example.net,(619) 843-2203,lead,Qualified,Decision Maker,False,92,16,2025-10-23,2025-10-23,Qualified,ZCR-104505,,ZCR-104505,2024-08-16,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Professional; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Christopher,Washington MD,corydavis@example.com,(136) 651-3067,lead,Converted,Qualification,False,58,46,2025-07-28,2025-07-28,Converted,ZCR-104506,,ZCR-104506,2024-04-15,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Education,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Tiffany,Erickson,eperez@example.net,(476) 124-0629,lead,New,,False,111,18,2025-04-30,2025-04-30,New,ZCR-104507,,ZCR-104507,2025-09-28,No DaySmart Record,0.0,0,0,,valid,10,Valid,Professional; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Dr.,Thomas Olson,nicoleandrade@example.org,(828) 418-8946,lead,Working,Needs Analysis,False,18,8,2026-04-01,2026-04-01,Working,ZCR-104508,,ZCR-104508,2024-10-19,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Daniel,Mcbride DDS,oscott@example.org,(681) 281-1731,lead,Working,Decision Maker,False,13,7,2025-09-16,2025-09-16,Working,ZCR-104509,,ZCR-104509,2025-03-06,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; Referral; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Mr.,Daniel Conner II,dwayne92@example.com,(476) 965-0301,lead,Qualified,Perception Analysis,False,49,21,2025-05-09,2025-05-09,Qualified,ZCR-104510,,ZCR-104510,2026-03-03,No DaySmart Record,0.0,0,0,,valid,10,Valid,New Customer; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Joan,Wilson,courtneyduke@example.net,(691) 715-9120,lead,Unqualified,Perception Analysis,False,10,1,2026-04-05,2026-04-05,Unqualified,ZCR-104511,,ZCR-104511,2024-09-25,No DaySmart Record,0.0,0,0,,valid,10,Valid,Hospitality; New Customer; Professional,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
John,Jones,awiley@example.com,(993) 464-9057,lead,Working,Negotiation,False,77,10,2026-03-25,2026-03-25,Working,ZCR-104512,,ZCR-104512,2024-04-19,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Brian,Odonnell,joshuawalker@example.net,(813) 201-6076,lead,Converted,Needs Analysis,False,101,60,2025-07-18,2025-07-18,Converted,ZCR-104513,,ZCR-104513,2025-05-02,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Fitness; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Victor,Lopez,rosskelli@example.net,(647) 716-5354,lead,Working,Needs Analysis,False,112,29,2026-01-04,2026-01-04,Working,ZCR-104515,,ZCR-104515,2025-09-03,No DaySmart Record,0.0,0,0,,valid,10,Valid,Hospitality; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Alexis,Calhoun,wilkersonchristopher@example.net,(781) 770-9763,lead,Unqualified,Perception Analysis,False,74,11,2026-03-04,2026-03-04,Unqualified,ZCR-104516,,ZCR-104516,2024-07-30,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; Professional; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Hannah,Suarez,joannaburgess@example.net,(544) 324-0863,lead,Unqualified,Qualification,False,56,48,2026-01-19,2026-01-19,Unqualified,ZCR-104517,,ZCR-104517,2025-11-23,No DaySmart Record,0.0,0,0,,valid,10,Valid,Hospitality; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Billy,Castro,lindsey56@example.com,(761) 082-8834,lead,Working,Qualification,False,72,35,2026-01-04,2026-01-04,Working,ZCR-104520,,ZCR-104520,2025-04-14,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Fitness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Haley,King,madkins@example.org,(525) 261-5982,lead,Qualified,Negotiation,False,79,13,2025-12-15,2025-12-15,Qualified,ZCR-104521,,ZCR-104521,2024-09-09,No DaySmart Record,0.0,0,0,,valid,10,Valid,New Customer; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Maria,Meadows,matthewpatterson@example.net,(036) 026-5163,lead,Working,Decision Maker,False,24,8,2026-03-01,2026-03-01,Working,ZCR-104522,,ZCR-104522,2025-12-27,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; New Customer; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Lawrence,Dunlap,donaldsonjonathan@example.com,(694) 592-6808,lead,Unqualified,Prospecting,False,47,38,2025-05-21,2025-05-21,Unqualified,ZCR-104523,,ZCR-104523,2024-05-13,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Derek,Hines,rowefrank@example.net,(100) 062-1823,lead,New,Perception Analysis,False,108,48,2025-11-22,2025-11-22,New,ZCR-104525,,ZCR-104525,2025-11-04,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Course; High Value; Hospitality,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Anthony,Martinez,margaret96@example.com,(994) 356-9513,lead,Working,Prospecting,False,1,0,2025-09-03,2025-09-03,Working,ZCR-104528,,ZCR-104528,2026-03-14,No DaySmart Record,0.0,0,0,,valid,10,Valid,Repeat; Retail; VIP; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Jeremiah,Hanna,dana94@example.com,(126) 736-5073,lead,Converted,Perception Analysis,False,54,31,2025-05-16,2025-05-16,Converted,ZCR-104530,,ZCR-104530,2025-01-14,No DaySmart Record,0.0,0,0,,valid,10,Valid,Hospitality; Referral; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Aimee,Simmons,emilygraham@example.org,(212) 309-0861,lead,Converted,Qualification,False,0,0,2025-06-23,2025-06-23,Converted,ZCR-104531,,ZCR-104531,2025-04-30,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Hospitality; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Alexander,Montes,nmorris@example.net,(919) 755-5490,lead,Unqualified,Perception Analysis,False,22,16,2025-09-06,2025-09-06,Unqualified,ZCR-104533,,ZCR-104533,2024-05-20,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Professional; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Andrew,Howard,phillipwood@example.org,(434) 207-5776,lead,Working,,False,101,58,2025-12-19,2025-12-19,Working,ZCR-104534,,ZCR-104534,2025-06-23,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Marisa,Rodriguez,paul73@example.org,(884) 224-7893,lead,Qualified,Proposal,False,18,3,2025-08-07,2025-08-07,Qualified,ZCR-104535,,ZCR-104535,2026-02-25,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Paul,Carter,zacharymoore@example.net,(582) 943-8002,lead,Converted,Qualification,False,109,36,2025-11-18,2025-11-18,Converted,ZCR-104536,,ZCR-104536,2025-06-15,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; Professional,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Elizabeth,Morris,melissa95@example.net,(013) 264-4739,lead,Unqualified,,False,4,3,2025-07-03,2025-07-03,Unqualified,ZCR-104537,,ZCR-104537,2025-03-23,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Fitness; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Mary,Rice,xsoto@example.org,(128) 552-7993,lead,Converted,Perception Analysis,False,110,59,2025-04-22,2025-04-22,Converted,ZCR-104538,,ZCR-104538,2024-09-13,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; High Value; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Michael,Perez,cooleygina@example.net,(870) 418-7786,lead,New,Negotiation,False,82,51,2025-09-02,2025-09-02,New,ZCR-104539,,ZCR-104539,2026-01-26,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Alexander,Cooper,ohall@example.net,(143) 597-3351,lead,Converted,Negotiation,False,30,20,2025-06-21,2025-06-21,Converted,ZCR-104540,,ZCR-104540,2026-01-10,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Education; New Customer; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Andre,Cox,vwilliams@example.org,(767) 516-1027,lead,New,,False,99,49,2025-12-22,2025-12-22,New,ZCR-104545,,ZCR-104545,2025-11-22,No DaySmart Record,0.0,0,0,,valid,10,Valid,Newsletter; Retail; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Ann,Gonzalez,franktimothy@example.net,(283) 679-6120,lead,Qualified,Proposal,False,15,4,2025-10-09,2025-10-09,Qualified,ZCR-104546,,ZCR-104546,2025-09-12,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Fitness; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Aimee,Hansen,hoscott@example.com,(561) 187-4074,lead,Unqualified,Closed Won,False,24,4,2025-06-16,2025-06-16,Unqualified,ZCR-104551,,ZCR-104551,2024-06-30,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; Retail,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Isaiah,Howard,montesmichael@example.net,(736) 435-0701,lead,Qualified,Negotiation,False,86,38,2025-08-29,2025-08-29,Qualified,ZCR-104552,,ZCR-104552,2024-10-12,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Jennifer,Clarke,smithcathy@example.net,(650) 493-9805,lead,Unqualified,Qualification,False,63,17,2025-10-02,2025-10-02,Unqualified,ZCR-104553,,ZCR-104553,2026-02-28,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Erica,Wilson,brianbrandt@example.com,(265) 336-5643,lead,New,Qualification,False,100,17,2025-06-15,2025-06-15,New,ZCR-104554,,ZCR-104554,2025-01-13,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Professional; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Frank,Martin,jessica93@example.net,(241) 568-8072,lead,Working,,False,56,5,2025-05-10,2025-05-10,Working,ZCR-104555,,ZCR-104555,2025-06-27,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Education; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Joseph,Patrick,hollanddavid@example.net,(051) 051-1931,lead,Unqualified,Negotiation,False,111,5,2025-10-12,2025-10-12,Unqualified,ZCR-104556,,ZCR-104556,2024-11-14,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,Education; Repeat; VIP,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Emily,Howard,kanthony@example.net,(807) 195-6052,lead,Qualified,Proposal,False,106,32,2025-09-02,2025-09-02,Qualified,ZCR-104557,,ZCR-104557,2025-05-16,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Angela,Potter,juliemcintosh@example.com,(188) 009-7245,lead,Converted,Needs Analysis,False,39,4,2025-11-24,2025-11-24,Converted,ZCR-104558,,ZCR-104558,2025-06-20,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Hospitality; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Michael,Wilson,hnguyen@example.net,(176) 080-7946,lead,Converted,Needs Analysis,False,106,51,2025-07-19,2025-07-19,Converted,ZCR-104561,,ZCR-104561,2025-09-01,No DaySmart Record,0.0,0,0,,catch-all,6,Valid,High Value; Hospitality,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Michael,Williams,stuart15@example.org,(959) 337-2513,lead,Converted,Negotiation,False,99,22,2025-09-11,2025-09-11,Converted,ZCR-104563,,ZCR-104563,2025-07-08,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Michael,Hernandez PhD,smithjennifer@example.org,(283) 111-0397,lead,Qualified,Negotiation,False,51,31,2025-05-07,2025-05-07,Qualified,ZCR-104566,,ZCR-104566,2025-05-31,No DaySmart Record,0.0,0,0,,valid,10,Valid,Course; Healthcare; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Michael,Roberts,opena@example.com,(713) 072-0610,lead,Unqualified,Proposal,False,110,16,2025-08-10,2025-08-10,Unqualified,ZCR-104567,,ZCR-104567,2024-12-14,No DaySmart Record,0.0,0,0,,valid,10,Valid,Healthcare; Hospitality; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Aaron,Powell,pricejoshua@example.net,(831) 230-6812,lead,New,,False,94,59,2025-10-20,2025-10-20,New,ZCR-104568,,ZCR-104568,2025-12-06,No DaySmart Record,0.0,0,0,,valid,10,Valid,Newsletter; Professional; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Curtis,Horton,frederick73@example.org,(307) 737-5347,lead,Converted,Closed Lost,False,63,33,2026-02-04,2026-02-04,Converted,ZCR-104570,,ZCR-104570,2024-09-04,No DaySmart Record,0.0,0,0,,valid,10,Valid,New Customer; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Wayne,Holland,andersoneric@example.org,(835) 946-1060,lead,Qualified,Prospecting,False,35,9,2026-01-18,2026-01-18,Qualified,ZCR-104571,,ZCR-104571,2024-12-20,No DaySmart Record,0.0,0,0,,valid,10,Valid,Education; Fitness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Matthew,Holder,carterelizabeth@example.net,(487) 102-7049,lead,Working,Value Proposition,False,11,8,2025-04-22,2025-04-22,Working,ZCR-104575,,ZCR-104575,2025-07-24,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness; New Customer,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Ana,Thomas,debrawilliams@example.com,(620) 283-5620,lead,Converted,Perception Analysis,False,66,31,2025-11-01,2025-11-01,Converted,ZCR-104577,,ZCR-104577,2024-11-16,No DaySmart Record,0.0,0,0,,unknown,4,Valid,Beauty; Fitness; Referral,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Anthony,Hill,sherryprice@example.net,(712) 050-1223,lead,Working,Decision Maker,False,13,5,2026-03-06,2026-03-06,Working,ZCR-104578,,ZCR-104578,2025-04-14,No DaySmart Record,0.0,0,0,,unknown,4,Valid,Beauty; High Value,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Sabrina,Cruz,taylorrichard@example.org,(115) 697-1716,lead,Qualified,Perception Analysis,False,90,33,2025-12-26,2025-12-26,Qualified,ZCR-104579,,ZCR-104579,2024-12-31,No DaySmart Record,0.0,0,0,,valid,10,Valid,Beauty; Newsletter,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Shawn,Jones,qburton@example.org,(798) 867-4495,lead,Converted,Value Proposition,False,112,15,2025-05-12,2025-05-12,Converted,ZCR-104581,,ZCR-104581,2025-02-03,No DaySmart Record,0.0,0,0,,valid,10,Valid,Corporate; High Value; Wellness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
Nicole,Price,andreawest@example.org,(346) 224-6442,lead,Qualified,,False,119,38,2025-11-08,2025-11-08,Qualified,ZCR-104584,,ZCR-104584,2025-12-02,No DaySmart Record,0.0,0,0,,valid,10,Valid,Fitness,Pass,Zoho,Zoho Only — Never Booked,2026-04-14
